registration_number,project_name,project_domain,project_description,project_date,tech_used
1,"Movie Recommendation System","Machine Learning","When a user searches for a movie, they will receive suggestions for other movies that are similar",10-10-2023,python
1,"SMS-Spam Detection","Machine Learing","This machine learning model is capable of distinguishing whether an SMS is spam or not",10-01-2023,python
3,"E-commerce Platform",Full-Stack,"A complete e-commerce platform with user authentication, product catalog, and online payment functionality.",20-08-2022,"React, Node.js, Express, MongoDB"
6,"Customer Churn Analysis","Data Science","An analysis of customer churn in a telecom company using machine learning algorithms to predict and prevent customer attrition.",10-09-2022,"Python, Pandas, Scikit-learn, Jupyter Notebooks"
2,"Image Recognition with CNN","Machine Learning","A convolutional neural network (CNN) model trained to recognize objects in images, applied to a real-world image classification problem.",25-09-2023,"Python, TensorFlow, Keras"
7,"Social Networking Site",Full-Stack,"A social networking platform allowing users to connect, share updates, and interact with each other.",05-09-2023,"Angular, Spring Boot, MySQL"
3,"Task Management App",Full-Stack,"An application for managing tasks and projects with features like task assignment, progress tracking, and user collaboration.",22-09-2022,"Vue.js, Django, PostgreSQL"
7,"Real-Time Chat Application",Full-Stack,"A real-time chat platform enabling users to communicate instantly with features like group chats, emojis, and file sharing.",10-10-2023,"React, Node.js, Socket.io, MongoDB"
7,"Portfolio Website",Full-Stack,"A personal portfolio website showcasing skills, projects, and experiences with an interactive and responsive design.",25-10-2022,"HTML, CSS, JavaScript, Flask"
6,"Sentiment Analysis on Twitter Data","Data Science","A sentiment analysis project analyzing tweets to understand public sentiment on specific topics or events.",28-11-2023,"Python, NLTK, Tweepy, Jupyter Notebooks"
9,"Predictive Maintenance for IoT Devices","Data Science","Using machine learning to predict maintenance needs for IoT devices, minimizing downtime and improving efficiency.",15-12-2023,"Python, TensorFlow, Azure IoT Hub"
9,"Fraud Detection in Financial Transactions","Data Science","Building a fraud detection model to identify anomalous patterns in financial transactions and prevent fraudulent activities.",02-01-2024,"Python, Scikit-learn, XGBoost, SQL"
9,"Healthcare Data Analysis","Data Science","Analyzing healthcare data to extract insights on patient outcomes, disease patterns, and treatment effectiveness.",18-01-2022,"R, SQL, Tableau"
5,"Image Classification with Transfer Learning","Machine Learning","Using transfer learning to build an image classification model capable of identifying a wide range of objects.",05-02-2023,"Python, TensorFlow, Keras, MobileNet"
8,"Natural Language Processing for Chatbots","Machine Learning","Implementing natural language processing techniques to enhance the capabilities of chatbots for improved user interactions.",20-02-2023,"Python, SpaCy, Rasa, Dialogflow"
4,"Recommender System for E-commerce","Machine Learning","Developing a recommender system to suggest personalized product recommendations based on user behavior and preferences.",08-03-2023,"Python, Scikit-learn, Collaborative Filtering"
2,"Time Series Forecasting for Stock Prices","Machine Learning","Applying time series forecasting models to predict stock prices and analyze market trends.",25-01-2024,"Python, Prophet, LSTM, Plotly"
2,"Autonomous Vehicle Navigation","Machine Learning","Building a machine learning model for autonomous vehicles to navigate through different environments using computer vision and sensor data.",10-02-2023,"Python, OpenCV, TensorFlow, ROS"
11,"E-commerce Platform",Full-Stack,"A complete e-commerce platform with user authentication, product catalog, and online payment functionality.",20-08-2022,"React, Node.js, Express, MongoDB"
12,"Customer Churn Analysis","Data Science","An analysis of customer churn in a telecom company using machine learning algorithms to predict and prevent customer attrition.",10-09-2022,"Python, Pandas, Scikit-learn, Jupyter Notebooks"
10,"Image Recognition with CNN","Machine Learning","A convolutional neural network (CNN) model trained to recognize objects in images, applied to a real-world image classification problem.",25-09-2023,"Python, TensorFlow, Keras"
13,"Social Networking Site",Full-Stack,"A social networking platform allowing users to connect, share updates, and interact with each other.",05-09-2023,"Angular, Spring Boot, MySQL"
15,"Task Management App",Full-Stack,"An application for managing tasks and projects with features like task assignment, progress tracking, and user collaboration.",22-09-2022,"Vue.js, Django, PostgreSQL"
18,"Real-Time Chat Application",Full-Stack,"A real-time chat platform enabling users to communicate instantly with features like group chats, emojis, and file sharing.",10-10-2023,"React, Node.js, Socket.io, MongoDB"
7,"Portfolio Website",Full-Stack,"A personal portfolio website showcasing skills, projects, and experiences with an interactive and responsive design.",25-10-2022,"HTML, CSS, JavaScript, Flask"
16,"Sentiment Analysis on Twitter Data","Data Science","A sentiment analysis project analyzing tweets to understand public sentiment on specific topics or events.",28-11-2023,"Python, NLTK, Tweepy, Jupyter Notebooks"
19,"Predictive Maintenance for IoT Devices","Data Science","Using machine learning to predict maintenance needs for IoT devices, minimizing downtime and improving efficiency.",15-12-2023,"Python, TensorFlow, Azure IoT Hub"
19,"Fraud Detection in Financial Transactions","Data Science","Building a fraud detection model to identify anomalous patterns in financial transactions and prevent fraudulent activities.",02-01-2024,"Python, Scikit-learn, XGBoost, SQL"
12,"Healthcare Data Analysis","Data Science","Analyzing healthcare data to extract insights on patient outcomes, disease patterns, and treatment effectiveness.",18-01-2022,"R, SQL, Tableau"
14,"Image Classification with Transfer Learning","Machine Learning","Using transfer learning to build an image classification model capable of identifying a wide range of objects.",05-02-2023,"Python, TensorFlow, Keras, MobileNet"
17,"Natural Language Processing for Chatbots","Machine Learning","Implementing natural language processing techniques to enhance the capabilities of chatbots for improved user interactions.",20-02-2023,"Python, SpaCy, Rasa, Dialogflow"
10,"Recommender System for E-commerce","Machine Learning","Developing a recommender system to suggest personalized product recommendations based on user behavior and preferences.",08-03-2023,"Python, Scikit-learn, Collaborative Filtering"
14,"Time Series Forecasting for Stock Prices","Machine Learning","Applying time series forecasting models to predict stock prices and analyze market trends.",25-01-2024,"Python, Prophet, LSTM, Plotly"
17,"Autonomous Vehicle Navigation","Machine Learning","Building a machine learning model for autonomous vehicles to navigate through different environments using computer vision and sensor data.",10-02-2023,"Python, OpenCV, TensorFlow, ROS"
1,"Cat Vs Dog Image Classification","Deep Learning","Developed a Convolutional Neural Network model to accurately classify images as either cats or dogs",01-01-2024,"python, Tensorflow, Keras"
1,"Cifar-10 Image Classification","Deep Learning","Developed a deep learning model to classify images from the CIFAR-10 dataset into 10 different categories, such as airplanes, automobiles, birds, cats, deer, dogs, frogs, horses, ships, and trucks",01-02-2024,"python, Tensorflow, Kears"
1,"API & API driven website",Full-Stack,"Built a custom API from scratch using Python and developed a dynamic website using Flask, which consumed the API.",01-03-2024,"python, Flask"
1,"Case Study on Flights Dataset Using SQL","Data Analytics","During this case study, I conducted an in-depth analysis of a flights dataset using SQL queries to derive meaningful insights and trends.",15-03-2024,SQL
2,"Sentiment Analysis on Twitter Data","Natural Language Processing","Implemented sentiment analysis on Twitter data to classify tweets as positive, negative, or neutral.",15-02-2023,"python, NLTK, scikit-learn"
2,"Stock Price Prediction using LSTM","Deep Learning","Developed a Long Short-Term Memory (LSTM) model to predict stock prices based on historical data.",20-04-2023,"python, TensorFlow, Keras"
2,"E-commerce Website Development",Full-Stack,"Designed and developed an e-commerce website with features such as user authentication, product listings, and shopping cart functionality.",10-10-2023,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB"
2,"Analysis of Customer Churn","Data Analytics","Conducted a comprehensive analysis of customer churn using statistical methods and machine learning algorithms to identify factors influencing customer retention.",15-05-2024,"python, pandas, scikit-learn, matplotlib"
3,"Online Food Ordering System",Full-Stack,"Developed a web-based online food ordering system allowing users to browse menus, place orders, and make payments securely.",01-06-2023,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB, Stripe API"
3,"Blog Platform with Content Management",Full-Stack,"Created a blog platform enabling users to publish, edit, and manage blog posts with an intuitive content management system.",15-06-2023,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB"
3,"E-commerce Store with Payment Integration",Full-Stack,"Designed and implemented an e-commerce store featuring product listings, user authentication, and payment integration using Stripe API for secure transactions.",01-10-2023,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB, Stripe API"
3,"Real Estate Listings Website",Full-Stack,"Built a real estate listings website allowing users to search for properties, view details, and contact agents for inquiries.",15-02-2024,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB"
4,"Medical Image Segmentation using Deep Learning","Deep Learning","Developed a deep learning model for segmenting medical images to assist in diagnosis and treatment planning.",02-08-2023,"python, TensorFlow, Keras"
4,"Predictive Maintenance for Industrial Equipment","Machine Learning","Implemented a predictive maintenance system using machine learning algorithms to anticipate equipment failures and optimize maintenance schedules.",15-09-2023,"python, scikit-learn, pandas"
4,"Customer Segmentation for Marketing Strategy","Machine Learning","Conducted customer segmentation analysis using clustering algorithms to identify distinct customer groups and tailor marketing strategies accordingly.",05-11-2023,"python, scikit-learn, matplotlib"
4,"Text Classification","Natural Language Processing","Built a text classification model using natural language processing techniques to categorize documents into predefined categories.",23-01-2024,"python, NLTK, scikit-learn"
5,"Sentiment Analysis of Movie Reviews","Machine Learning","Performed sentiment analysis on movie reviews using machine learning techniques to classify reviews as positive, negative, or neutral.",07-10-2023,"python, scikit-learn, NLTK"
5,"Image Captioning","Deep Learning","Developed a deep learning model to generate captions for images, enabling automated description of visual content.",18-12-2023,"python, TensorFlow, Keras"
5,"Fraud Detection in Financial Transactions","Machine Learning","Implemented a fraud detection system using machine learning algorithms to identify suspicious patterns and anomalies in financial transactions.",16-01-2024,"python, scikit-learn, pandas"
5,"Recommendation System for E-commerce Platform","Machine Learning","Built a recommendation system using collaborative filtering techniques to suggest personalized product recommendations to users based on their browsing and purchase history.",20-02-2024,"python, scikit-learn, pandas"
6,"Exploratory Data Analysis of E-commerce Sales Data","Data Analytics","Conducted exploratory data analysis on e-commerce sales data to uncover trends, patterns, and insights for business decision-making.",01-02-2023,"python, pandas, matplotlib, seaborn"
6,"Customer Segmentation using K-means Clustering","Machine Learning","Performed customer segmentation analysis using K-means clustering algorithm to identify distinct customer segments based on purchasing behavior.",15-05-2023,"python, scikit-learn, pandas"
6,"Time Series Forecasting of Stock Prices","Machine Learning","Applied time series forecasting techniques to predict stock prices, leveraging historical market data for investment decision support.",19-10-2023,"python, pandas, statsmodels"
6,"Social Media Sentiment Analysis","Machine Learning","Conducted sentiment analysis on social media data to gauge public opinion and sentiment towards a particular topic or brand.",15-01-2024,"python, nltk, textblob"
7,"Social Media Dashboard",Full-Stack,"Developed a web-based social media dashboard allowing users to manage multiple social media accounts, schedule posts, and analyze engagement metrics.",12-04-2023,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB"
7,"E-learning Platform with Video Streaming",Full-Stack,"Built an e-learning platform featuring video streaming capabilities, course management, and user progress tracking.",10-08-2023,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB"
