registration_number,project_name,project_domain,project_description,project_date,tech_used
1,"Movie Recommendation System","Machine Learning","When a user searches for a movie, they will receive suggestions for other movies that are similar",2023-10-10,python
1,"SMS-Spam Detection","Machine Learing","This machine learning model is capable of distinguishing whether an SMS is spam or not",2023-01-10,python
3,"E-commerce Platform",Full-Stack,"A complete e-commerce platform with user authentication, product catalog, and online payment functionality.",2022-08-20,"React, Node.js, Express, MongoDB"
6,"Customer Churn Analysis","Data Science","An analysis of customer churn in a telecom company using machine learning algorithms to predict and prevent customer attrition.",2022-09-10,"Python, Pandas, Scikit-learn, Jupyter Notebooks"
2,"Image Recognition with CNN","Machine Learning","A convolutional neural network (CNN) model trained to recognize objects in images, applied to a real-world image classification problem.",2023-09-25,"Python, TensorFlow, Keras"
7,"Social Networking Site",Full-Stack,"A social networking platform allowing users to connect, share updates, and interact with each other.",2023-09-05,"Angular, Spring Boot, MySQL"
3,"Task Management App",Full-Stack,"An application for managing tasks and projects with features like task assignment, progress tracking, and user collaboration.",2022-09-22,"Vue.js, Django, PostgreSQL"
7,"Real-Time Chat Application",Full-Stack,"A real-time chat platform enabling users to communicate instantly with features like group chats, emojis, and file sharing.",2023-10-10,"React, Node.js, Socket.io, MongoDB"
7,"Portfolio Website",Full-Stack,"A personal portfolio website showcasing skills, projects, and experiences with an interactive and responsive design.",2022-10-25,"HTML, CSS, JavaScript, Flask"
6,"Sentiment Analysis on Twitter Data","Data Science","A sentiment analysis project analyzing tweets to understand public sentiment on specific topics or events.",2023-11-28,"Python, NLTK, Tweepy, Jupyter Notebooks"
9,"Predictive Maintenance for IoT Devices","Data Science","Using machine learning to predict maintenance needs for IoT devices, minimizing downtime and improving efficiency.",2023-12-15,"Python, TensorFlow, Azure IoT Hub"
9,"Fraud Detection in Financial Transactions","Data Science","Building a fraud detection model to identify anomalous patterns in financial transactions and prevent fraudulent activities.",2024-01-02,"Python, Scikit-learn, XGBoost, SQL"
9,"Healthcare Data Analysis","Data Science","Analyzing healthcare data to extract insights on patient outcomes, disease patterns, and treatment effectiveness.",2022-01-18,"R, SQL, Tableau"
5,"Image Classification with Transfer Learning","Machine Learning","Using transfer learning to build an image classification model capable of identifying a wide range of objects.",2023-02-05,"Python, TensorFlow, Keras, MobileNet"
8,"Natural Language Processing for Chatbots","Machine Learning","Implementing natural language processing techniques to enhance the capabilities of chatbots for improved user interactions.",2023-02-20,"Python, SpaCy, Rasa, Dialogflow"
4,"Recommender System for E-commerce","Machine Learning","Developing a recommender system to suggest personalized product recommendations based on user behavior and preferences.",2023-03-08,"Python, Scikit-learn, Collaborative Filtering"
2,"Time Series Forecasting for Stock Prices","Machine Learning","Applying time series forecasting models to predict stock prices and analyze market trends.",2024-01-25,"Python, Prophet, LSTM, Plotly"
2,"Autonomous Vehicle Navigation","Machine Learning","Building a machine learning model for autonomous vehicles to navigate through different environments using computer vision and sensor data.",2023-02-10,"Python, OpenCV, TensorFlow, ROS"
11,"E-commerce Platform",Full-Stack,"A complete e-commerce platform with user authentication, product catalog, and online payment functionality.",2022-08-20,"React, Node.js, Express, MongoDB"
12,"Customer Churn Analysis","Data Science","An analysis of customer churn in a telecom company using machine learning algorithms to predict and prevent customer attrition.",2022-09-10,"Python, Pandas, Scikit-learn, Jupyter Notebooks"
10,"Image Recognition with CNN","Machine Learning","A convolutional neural network (CNN) model trained to recognize objects in images, applied to a real-world image classification problem.",2023-09-25,"Python, TensorFlow, Keras"
13,"Social Networking Site",Full-Stack,"A social networking platform allowing users to connect, share updates, and interact with each other.",2023-09-05,"Angular, Spring Boot, MySQL"
15,"Task Management App",Full-Stack,"An application for managing tasks and projects with features like task assignment, progress tracking, and user collaboration.",2022-09-22,"Vue.js, Django, PostgreSQL"
18,"Real-Time Chat Application",Full-Stack,"A real-time chat platform enabling users to communicate instantly with features like group chats, emojis, and file sharing.",2023-10-10,"React, Node.js, Socket.io, MongoDB"
7,"Portfolio Website",Full-Stack,"A personal portfolio website showcasing skills, projects, and experiences with an interactive and responsive design.",2022-10-25,"HTML, CSS, JavaScript, Flask"
16,"Sentiment Analysis on Twitter Data","Data Science","A sentiment analysis project analyzing tweets to understand public sentiment on specific topics or events.",2023-11-28,"Python, NLTK, Tweepy, Jupyter Notebooks"
19,"Predictive Maintenance for IoT Devices","Data Science","Using machine learning to predict maintenance needs for IoT devices, minimizing downtime and improving efficiency.",2023-12-15,"Python, TensorFlow, Azure IoT Hub"
19,"Fraud Detection in Financial Transactions","Data Science","Building a fraud detection model to identify anomalous patterns in financial transactions and prevent fraudulent activities.",2024-01-02,"Python, Scikit-learn, XGBoost, SQL"
